Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU05,claude,clases,rouge2,0.027,0.077,0.040
HU05,claude,clases,rougeL,0.184,0.500,0.269
HU05,gpt,clases,rouge1,0.250,0.500,0.333
HU05,gpt,clases,rouge2,0.037,0.077,0.050
HU05,gpt,clases,rougeL,0.214,0.429,0.286
HU05,mistral,clases,rouge1,0.364,0.571,0.444
HU05,mistral,clases,rouge2,0.095,0.154,0.118
HU05,mistral,clases,rougeL,0.364,0.571,0.444
HU06,llama,clases,rouge1,0.169,0.357,0.230
HU06,llama,clases,rouge2,0.034,0.074,0.047
HU06,llama,clases,rougeL,0.153,0.321,0.207
HU06,deepseek,clases,rouge1,0.111,0.214,0.146
HU06,deepseek,clases,rouge2,0.019,0.037,0.025
HU06,deepseek,clases,rougeL,0.111,0.214,0.146
HU06,gemini,clases,rouge1,0.127,0.250,0.169
HU06,gemini,clases,rouge2,0.019,0.037,0.025
HU06,gemini,clases,rougeL,0.127,0.250,0.169
HU06,claude,clases,rouge1,0.127,0.321,0.182
HU06,claude,clases,rouge2,0.014,0.037,0.021
HU06,claude,clases,rougeL,0.113,0.286,0.162
HU06,gpt,clases,rouge1,0.211,0.429,0.282
HU06,gpt,clases,rouge2,0.036,0.074,0.048
HU06,gpt,clases,rougeL,0.175,0.357,0.235
HU06,mistral,clases,rouge1,0.146,0.214,0.174
HU06,mistral,clases,rouge2,0.025,0.037,0.030
HU06,mistral,clases,rougeL,0.122,0.179,0.145
HU07,llama,clases,rouge1,0.188,0.500,0.273
HU07,llama,clases,rouge2,0.064,0.176,0.094
HU07,llama,clases,rougeL,0.167,0.444,0.242
HU07,gemini,clases,rouge1,0.145,0.611,0.234
HU07,gemini,clases,rouge2,0.053,0.235,0.087
HU07,gemini,clases,rougeL,0.132,0.556,0.213
HU07,claude,clases,rouge1,0.385,0.556,0.455
HU07,claude,clases,rouge2,0.200,0.294,0.238
HU07,claude,clases,rougeL,0.346,0.500,0.409
HU07,gpt,clases,rouge1,0.524,0.611,0.564
HU07,gpt,clases,rouge2,0.250,0.294,0.270
HU07,gpt,clases,rougeL,0.429,0.500,0.462
HU07,mistral,clases,rouge1,0.500,0.611,0.550
HU07,mistral,clases,rouge2,0.333,0.412,0.368
HU07,mistral,clases,rougeL,0.455,0.556,0.500
HU08,llama,clases,rouge1,0.348,0.457,0.395
HU08,llama,clases,rouge2,0.133,0.176,0.152
HU08,llama,clases,rougeL,0.261,0.343,0.296
HU08,deepseek,clases,rouge1,0.261,0.343,0.296
HU08,deepseek,clases,rouge2,0.089,0.118,0.101
HU08,deepseek,clases,rougeL,0.217,0.286,0.247
HU08,gemini,clases,rouge1,0.279,0.686,0.397
